1,like,"DESIRE,DESIRE,DESIRE"
2,get,"ACQUISITION,ACQUISITION"
3,know,"KNOWLEDGE,KNOWLEDGE"
4,person,"HUMANKIND,HUMANKIND"
5,really,"GREATNESS"
6,want,"DESIRE,DESIRE"
7,think,"THOUGHT <EXERCISE OF THE INTELLECT>,THOUGHT <EXERCISE OF THE INTELLECT>"
8,go,"PROGRESSION <MOTION FORWARDS>,PROGRESSION <MOTION FORWARDS>"
9,help,"AID,REMEDY"
10,need,"NECESSITY,NECESSITY"
11,feel,"SENSATION <PHYSICAL SENSIBILITY>,FEELING"
12,find,"DISCOVERY,DISCOVERY"
13,edit,"IMPROVEMENT,IMPROVEMENT"
14,thing,"MATERIALITY,MATERIALITY"
15,look,"VISION,VISION"
16,pretty,"BEAUTY,BEAUTY"
17,sure,"CERTAINTY,CERTAINTY"
18,love,"DESIRE,LOVE"
19,game,"AMUSEMENT,AMUSEMENT"
20,else,"DIFFERENCE,DIFFERENCE"
21,good,"GOODNESS <GOOD QUALITY OR EFFECT>,GOODNESS <GOOD QUALITY OR EFFECT>"
22,lot,"QUANTITY,QUANTITY"
23,friend,"FRIEND,FRIEND"
24,week,"PERIOD <PORTION OR POINT OF TIME>,PERIOD <PORTION OR POINT OF TIME>"
25,someone,"HUMANKIND,HUMANKIND"
26,guy,"SUPPORT,SUPPORT"
27,start,"BEGINNING,BEGINNING"
28,try,"ENDEAVOR,ENDEAVOR"
29,keep,"RETENTION,RETENTION"
30,ago,"THE PAST,THE PAST"
31,lunch,"EATING,EATING"
32,thank,"GRATITUDE,GRATITUDE"
33,maybe,"POSSIBILITY,POSSIBILITY"
34,seem,"APPEARANCE,APPEARANCE"
35,idea,"IDEA,IDEA"
36,job,"OCCUPATION,OCCUPATION"
37,post,"RECORD,RECORD"
38,month,"PERIOD <portion or point of time>,PERIOD <portion or point of time>"
39,please,"REQUEST,REQUEST"
40,live,"LIFE,LIFE"
41,play,"AMUSEMENT,AMUSEMENT"
42,actually,"TRUTH <CONFORMITY TO FACT OR REALITY>,TRUTH <CONFORMITY TO FACT OR REALITY>"
43,able,"SKILL,POSSIBILITY"
44,bit,"INSUFFICIENCY,INSUFFICIENCY"
45,bad,"BADNESS <BAD QUALITY OR EFFECT>,BADNESS <BAD QUALITY OR EFFECT>"
